,for_date,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
38,2022-01-17,as167,as1671a1,5304 Saint Georges Grn,Austin,TX,78745,1,,2021-06-23,Apartment,,0.59,2022-01-18 00:32:02.515641
39,2022-01-17,as167,as1671a1,4903 Hawk Cv,Austin,TX,78745,1,,2021-11-30,Apartment,,0.63,2022-01-18 00:32:02.515641
40,2022-01-17,as167,as1671a1,"1016 W Stassney Ln, Apt 122",Austin,TX,78745,1,588,2021-09-21,Apartment,2.302,0.03,2022-01-18 00:32:02.515641
41,2022-01-17,as167,as1671a1,"1016 W Stassney Ln, Apt 136",Austin,TX,78745,1,588,2021-09-08,Apartment,2.192,0.03,2022-01-18 00:32:02.515641
42,2022-01-17,as167,as1671a1,"1016 W Stassney Ln, Apt 148",Austin,TX,78745,1,708,2021-09-14,Apartment,1.912,0.03,2022-01-18 00:32:02.515641
43,2022-01-17,as167,as1671a1,"1020 W Stassney Ln, Unit 248",Austin,TX,78745,1,708,2021-09-16,Apartment,2.062,0.06,2022-01-18 00:32:02.515641
44,2022-01-17,as167,as1671a1,"1020 W Stassney Ln, Unit 165",Austin,TX,78745,1,708,2021-09-07,Apartment,1.922,0.07,2022-01-18 00:32:02.515641
45,2022-01-17,as167,as1671a1,"5807 S 1st St, Unit ATC11",Austin,TX,78745,1,670,2021-09-14,Apartment,1.772,0.39,2022-01-18 00:32:02.515641
46,2022-01-17,as167,as1671a1,1016 W Stassney Ln,Austin,TX,78745,1,,2022-01-16,Apartment,,0.03,2022-01-18 00:32:02.515641
47,2022-01-17,as167,as1671a1,"1005 W Stassney Ln, Unit 25203",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
48,2022-01-17,as167,as1671a1,"714 Turtle Creek Blvd, Unit 156",Austin,TX,78745,1,,2021-09-08,Apartment,,0.38,2022-01-18 00:32:02.515641
49,2022-01-17,as167,as1671a1,5816 S 1st St,Austin,TX,78745,1,,2021-09-12,Single Family,,0.36,2022-01-18 00:32:02.515641
50,2022-01-17,as167,as1671a1,1005 W Stassney Ln,Austin,TX,78745,1,650,2022-01-14,Condo,1.502,0.1,2022-01-18 00:32:02.515641
51,2022-01-17,as167,as1671a1,"1005 W Stassney Ln, Unit 25202",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
52,2022-01-17,as167,as1671a1,"1005 W Stassney Ln, Unit 25201",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
53,2022-01-17,as167,as1671a1,"5304 Saint Georges Grn, Apt A",Austin,TX,78745,1,840,2021-06-22,Apartment,1.192,0.59,2022-01-18 00:32:02.515641
54,2022-01-17,as167,as1671a1,811 Ramble Ln,Austin,TX,78745,1,,2021-06-30,Apartment,,0.15,2022-01-18 00:32:02.515641
55,2022-01-17,as167,as1671a1,5800 Emerald Forest Dr,Austin,TX,78745,1,,2021-12-15,Apartment,,0.24,2022-01-18 00:32:02.515641
56,2022-01-17,as167,as1671a1,6200 Soft Wind Cir,Austin,TX,78745,1,,2021-10-01,Apartment,,0.51,2022-01-18 00:32:02.515641
57,2022-01-17,as167,as1671a1,801 Sirocco Dr,Austin,TX,78745,1,,2021-06-27,Apartment,,0.51,2022-01-18 00:32:02.515641
58,2022-01-17,as167,as1671a1,5304 Saint Georges Grn,Austin,TX,78745,1,,2021-06-23,Apartment,,0.59,2022-01-18 00:32:02.515641
59,2022-01-17,as167,as1671a1,4903 Hawk Cv,Austin,TX,78745,1,,2021-11-30,Apartment,,0.63,2022-01-18 00:32:02.515641
60,2022-01-17,as167,as1671a1,"1016 W Stassney Ln, Apt 122",Austin,TX,78745,1,588,2021-09-21,Apartment,2.302,0.03,2022-01-18 00:32:02.515641
61,2022-01-17,as167,as1671a1,"1016 W Stassney Ln, Apt 136",Austin,TX,78745,1,588,2021-09-08,Apartment,2.192,0.03,2022-01-18 00:32:02.515641
62,2022-01-17,as167,as1671a1,"1016 W Stassney Ln, Apt 148",Austin,TX,78745,1,708,2021-09-14,Apartment,1.912,0.03,2022-01-18 00:32:02.515641
63,2022-01-17,as167,as1671a1,"1020 W Stassney Ln, Unit 248",Austin,TX,78745,1,708,2021-09-16,Apartment,2.062,0.06,2022-01-18 00:32:02.515641
64,2022-01-17,as167,as1671a1,"1020 W Stassney Ln, Unit 165",Austin,TX,78745,1,708,2021-09-07,Apartment,1.922,0.07,2022-01-18 00:32:02.515641
65,2022-01-17,as167,as1671a1,"5807 S 1st St, Unit ATC11",Austin,TX,78745,1,670,2021-09-14,Apartment,1.772,0.39,2022-01-18 00:32:02.515641
66,2022-01-17,as167,as1671a1,1016 W Stassney Ln,Austin,TX,78745,1,,2022-01-16,Apartment,,0.03,2022-01-18 00:32:02.515641
67,2022-01-17,as167,as1671a1,"1005 W Stassney Ln, Unit 25203",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
68,2022-01-17,as167,as1671a1,"714 Turtle Creek Blvd, Unit 156",Austin,TX,78745,1,,2021-09-08,Apartment,,0.38,2022-01-18 00:32:02.515641
69,2022-01-17,as167,as1671a1,5816 S 1st St,Austin,TX,78745,1,,2021-09-12,Single Family,,0.36,2022-01-18 00:32:02.515641
70,2022-01-17,as167,as1671a1,1005 W Stassney Ln,Austin,TX,78745,1,650,2022-01-14,Condo,1.502,0.1,2022-01-18 00:32:02.515641
71,2022-01-17,as167,as1671a1,"1005 W Stassney Ln, Unit 25202",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
72,2022-01-17,as167,as1671a1,"1005 W Stassney Ln, Unit 25201",Austin,TX,78745,1,,2022-01-16,Apartment,,0.1,2022-01-18 00:32:02.515641
73,2022-01-17,as167,as1671a1,"5304 Saint Georges Grn, Apt A",Austin,TX,78745,1,840,2021-06-22,Apartment,1.192,0.59,2022-01-18 00:32:02.515641
74,2022-01-17,as167,as1671a1,811 Ramble Ln,Austin,TX,78745,1,,2021-06-30,Apartment,,0.15,2022-01-18 00:32:02.515641
75,2022-01-17,as167,as1671a1,5800 Emerald Forest Dr,Austin,TX,78745,1,,2021-12-15,Apartment,,0.24,2022-01-18 00:32:02.515641
76,2022-01-17,as167,as1671a1,6200 Soft Wind Cir,Austin,TX,78745,1,,2021-10-01,Apartment,,0.51,2022-01-18 00:32:02.515641
77,2022-01-17,as167,as1671a1,801 Sirocco Dr,Austin,TX,78745,1,,2021-06-27,Apartment,,0.51,2022-01-18 00:32:02.515641
78,2022-01-17,as167,as1671a1,5304 Saint Georges Grn,Austin,TX,78745,1,,2021-06-23,Apartment,,0.59,2022-01-18 00:32:02.515641
79,2022-01-17,as167,as1671a1,4903 Hawk Cv,Austin,TX,78745,1,,2021-11-30,Apartment,,0.63,2022-01-18 00:32:02.515641
80,2022-01-17,as167,as1671a2,"1016 W Stassney Ln, Apt 136",Austin,TX,78745,1,588,2021-09-08,Apartment,2.192,0.03,2022-01-18 00:32:02.515641
81,2022-01-17,as167,as1671a2,"1016 W Stassney Ln, Apt 122",Austin,TX,78745,1,588,2021-09-21,Apartment,2.302,0.03,2022-01-18 00:32:02.515641
82,2022-01-17,as167,as1671a2,"1016 W Stassney Ln, Apt 148",Austin,TX,78745,1,708,2021-09-14,Apartment,1.912,0.03,2022-01-18 00:32:02.515641
83,2022-01-17,as167,as1671a2,"1020 W Stassney Ln, Unit 248",Austin,TX,78745,1,708,2021-09-16,Apartment,2.062,0.06,2022-01-18 00:32:02.515641
84,2022-01-17,as167,as1671a2,"5807 S 1st St, Unit ATC11",Austin,TX,78745,1,670,2021-09-14,Apartment,1.772,0.39,2022-01-18 00:32:02.515641
