,for_date,comp_id,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
26,2022-01-17,1b68e4b3-2ede-4629-abe0-441fb9acc04b,rentcast,as185,27201-A2,"Ed Bluestein Blvd, Unit 4217",Austin,TX,78721,1.0,527,2022-01-10,Apartment,2.942,1.9,2022-01-18 04:29:17.242574
27,2022-01-17,f21ab9ba-f803-4bec-8cce-2ef7c4806425,rentcast,as185,27201-A2,"8201 Riverstone Dr, Apt D",Austin,TX,78724,1.0,780,2021-09-16,Condo,1.532,1.16,2022-01-18 04:29:17.242574
28,2022-01-17,0bec86b7-d285-4d65-91fc-3d4d2bc72033,rentcast,as185,27201-A2,"8201 Riverstone Dr, Apt A",Austin,TX,78724,1.0,780,2021-07-04,Apartment,1.532,1.16,2022-01-18 04:29:17.242574
29,2022-01-17,ae1ced9f-3cbc-4e05-b5c7-0bb4f999b6da,rentcast,as185,27201-A2,8503 Colony Loop Dr,Austin,TX,78724,1.0,780,2021-06-16,Apartment,1.282,1.3,2022-01-18 04:29:17.242574
30,2022-01-17,e7d0aeb7-ab74-4c33-b770-219565ea7314,rentcast,as185,27201-A2,"8503 Colony Loop Dr, Apt A",Austin,TX,78724,1.0,780,2021-06-27,Apartment,1.282,1.3,2022-01-18 04:29:17.242574
31,2022-01-17,ca9b08f4-2b44-4ebb-8459-4aef46a100fd,rentcast,as185,27201-A2,4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64,2022-01-18 04:29:17.242574
32,2022-01-17,cd7f4be1-236b-4b5c-965d-bb14fab0f789,rentcast,as185,27201-A2,"6800 Wentworth Dr, Unit A",Austin,TX,78724,1.0,913,2021-09-14,Multi-Family,1.482,1.23,2022-01-18 04:29:17.242574
33,2022-01-17,cdb06579-c75f-4f6a-97f9-f39c8eff3f6f,rentcast,as185,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 1157",Austin,TX,78721,1.0,529,2021-09-16,Apartment,2.642,1.31,2022-01-18 04:29:17.242574
34,2022-01-17,7a5067a4-b7aa-467e-adc2-173f2a082e40,rentcast,as185,27201-A2,5404 Northdale Dr,Austin,TX,78723,1.0,999,2021-12-13,Single Family,1.652,2.33,2022-01-18 04:29:17.242574
35,2022-01-17,53296d2e-0447-47ba-a211-a0dc84674a15,rentcast,as185,27201-A2,8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39,2022-01-18 04:29:17.242574
36,2022-01-17,af84f2c5-0a42-439c-b0c9-ff5c42e2fc0e,rentcast,as185,27201-A2,9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49,2022-01-18 04:29:17.242574
37,2022-01-17,4ee33f45-e56d-4230-94fa-b3987be67003,rentcast,as185,27201-A2,9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49,2022-01-18 04:29:17.242574
38,2022-01-17,d2dffc4a-d360-4aa4-b2b1-658c77fc7256,rentcast,as185,27201-A2,5625 Signal Pt,Austin,TX,78724,2.0,"1,080",2021-11-15,Single Family,1.482,1.05,2022-01-18 04:29:17.242574
