,for_date,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance
33,17/01/2022,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 1157
Austin, TX 78721","6829 E Martin Luther King Jr Blvd, Unit 1157",Austin,TX,78721,1.0,529,2021-09-16,Apartment,2.642,1.31
34,17/01/2022,27201-A2,"5404 Northdale Dr
Austin, TX 78723",5404 Northdale Dr,Austin,TX,78723,1.0,999,2021-12-13,Single Family,1.652,2.33
35,17/01/2022,27201-A2,"8913 Southwick Dr
Austin, TX 78724",8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39
36,17/01/2022,27201-A2,"9217 Southwick Dr
Austin, TX 78724",9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49
37,17/01/2022,27201-A2,"9025 China Rose Dr
Austin, TX 78724",9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49
38,17/01/2022,27201-A2,"5625 Signal Pt
Austin, TX 78724",5625 Signal Pt,Austin,TX,78724,2.0,"1,080",2021-11-15,Single Family,1.482,1.05
39,17/01/2022,27201-A2,"5808 Glowing Star Trl
Austin, TX 78724",5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51
40,17/01/2022,27201-B1,"8403 Colony Loop Dr, Apt B
Austin, TX 78724","8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32
41,17/01/2022,27201-B1,"4710 Little Hill Cir
Austin, TX 78725",4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64
42,17/01/2022,27201-B1,"8913 Southwick Dr
Austin, TX 78724",8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39
43,17/01/2022,27201-B1,"9217 Southwick Dr
Austin, TX 78724",9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49
44,17/01/2022,27201-B1,"9025 China Rose Dr
Austin, TX 78724",9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49
45,17/01/2022,27201-B1,"5808 Glowing Star Trl
Austin, TX 78724",5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51
46,17/01/2022,27201-B1,"5301 Decker Ln, Apt 9207
Austin, TX 78724","5301 Decker Ln, Apt 9207",Austin,TX,78724,2.0,"1,108",2021-11-02,Condo,1.612,0.1
47,17/01/2022,27201-B1,"8602 FM 969
Austin, TX 78724",8602 FM 969,Austin,TX,78724,2.0,"1,109",2021-09-16,Apartment,1.532,0.09
48,17/01/2022,27201-B1,"5709 Levenwood Ln
Austin, TX 78724",5709 Levenwood Ln,Austin,TX,78724,2.0,"1,207",2021-06-27,Single Family,1.622,0.58
49,17/01/2022,27201-B1,"5625 Signal Pt
Austin, TX 78724",5625 Signal Pt,Austin,TX,78724,2.0,"1,080",2021-11-15,Single Family,1.482,1.05
50,17/01/2022,27201-B1,"5912 Pinon Vista Dr
Austin, TX 78724",5912 Pinon Vista Dr,Austin,TX,78724,2.0,"1,230",2021-12-06,Single Family,1.952,1.09
51,17/01/2022,27201-B1,"10709 Fm 969 Rd
Austin, TX 78724",10709 Fm 969 Rd,Austin,TX,78724,2.5,"1,892",2021-10-27,Single Family,1.452,1.41
52,17/01/2022,27201-B1,"5407 Garden View Cv
Austin, TX 78724",5407 Garden View Cv,Austin,TX,78724,2.0,"1,131",2021-07-01,Single Family,1.462,1.73
53,17/01/2022,27201-B1,"5520 Toscana Ave
Austin, TX 78724",5520 Toscana Ave,Austin,TX,78724,2.0,"1,289",2022-01-11,Single Family,1.472,0.98
54,17/01/2022,27201-B1,"5604 Pinon Vista Dr
Austin, TX 78724",5604 Pinon Vista Dr,Austin,TX,78724,2.0,"1,320",2021-09-09,Single Family,1.212,1.05
55,17/01/2022,27201-B1,"5913 Alsace Trl
Austin, TX 78724",5913 Alsace Trl,Austin,TX,78724,2.0,"1,306",2022-01-11,Single Family,1.302,1.14
56,17/01/2022,27201-B1,"5513 Nelson Oaks Dr
Austin, TX 78724",5513 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-08-15,Single Family,1.462,0.37
57,17/01/2022,27201-B1,"5613 Nelson Oaks Dr
Austin, TX 78724",5613 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-07-10,Single Family,1.462,0.39
58,17/01/2022,27201-B1,"6016 Signal Pt
Austin, TX 78724",6016 Signal Pt,Austin,TX,78724,2.0,"1,320",2022-01-11,Single Family,1.292,1.17
59,17/01/2022,27201-B1,"6025 Signal Pt
Austin, TX 78724",6025 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-11-09,Single Family,1.282,1.18
60,17/01/2022,27201-B2,"4710 Little Hill Cir
Austin, TX 78725",4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64
61,17/01/2022,27201-B2,"8403 Colony Loop Dr, Apt B
Austin, TX 78724","8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32
62,17/01/2022,27201-B2,"8913 Southwick Dr
Austin, TX 78724",8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39
63,17/01/2022,27201-B2,"5808 Glowing Star Trl
Austin, TX 78724",5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51
64,17/01/2022,27201-B2,"9025 China Rose Dr
Austin, TX 78724",9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49
65,17/01/2022,27201-B2,"9217 Southwick Dr
Austin, TX 78724",9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49
66,17/01/2022,27201-B2,"5709 Levenwood Ln
Austin, TX 78724",5709 Levenwood Ln,Austin,TX,78724,2.0,"1,207",2021-06-27,Single Family,1.622,0.58
67,17/01/2022,27201-B2,"5520 Toscana Ave
Austin, TX 78724",5520 Toscana Ave,Austin,TX,78724,2.0,"1,289",2022-01-11,Single Family,1.472,0.98
68,17/01/2022,27201-B2,"5912 Pinon Vista Dr
Austin, TX 78724",5912 Pinon Vista Dr,Austin,TX,78724,2.0,"1,230",2021-12-06,Single Family,1.952,1.09
69,17/01/2022,27201-B2,"10709 Fm 969 Rd
Austin, TX 78724",10709 Fm 969 Rd,Austin,TX,78724,2.5,"1,892",2021-10-27,Single Family,1.452,1.41
70,17/01/2022,27201-B2,"5604 Pinon Vista Dr
Austin, TX 78724",5604 Pinon Vista Dr,Austin,TX,78724,2.0,"1,320",2021-09-09,Single Family,1.212,1.05
71,17/01/2022,27201-B2,"5913 Alsace Trl
Austin, TX 78724",5913 Alsace Trl,Austin,TX,78724,2.0,"1,306",2022-01-11,Single Family,1.302,1.14
72,17/01/2022,27201-B2,"6016 Signal Pt
Austin, TX 78724",6016 Signal Pt,Austin,TX,78724,2.0,"1,320",2022-01-11,Single Family,1.292,1.17
73,17/01/2022,27201-B2,"6025 Signal Pt
Austin, TX 78724",6025 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-11-09,Single Family,1.282,1.18
74,17/01/2022,27201-B2,"5513 Nelson Oaks Dr
Austin, TX 78724",5513 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-08-15,Single Family,1.462,0.37
75,17/01/2022,27201-B2,"6041 Signal Pt
Austin, TX 78724",6041 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-10-27,Single Family,1.252,1.21
76,17/01/2022,27201-B2,"5613 Nelson Oaks Dr
Austin, TX 78724",5613 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-07-10,Single Family,1.462,0.39
77,17/01/2022,27201-B2,"9305 Southwick Dr
Austin, TX 78724",9305 Southwick Dr,Austin,TX,78724,2.0,"1,516",2021-10-23,Single Family,1.252,0.52
78,17/01/2022,27201-B2,"5901 Nelson Oaks Dr
Austin, TX 78724",5901 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,532",2021-10-27,Single Family,1.262,0.54
79,17/01/2022,27201-B2,"9000 Tall Sky Trce
Austin, TX 78724",9000 Tall Sky Trce,Austin,TX,78724,2.0,"1,637",2021-12-17,Single Family,1.222,0.2
80,17/01/2022,as1631a1,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613","1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15
81,17/01/2022,as1631a1,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613","1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15
82,17/01/2022,as1631a1,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02
83,17/01/2022,as1631a1,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613","1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07
