,abbreviation,unit-type,comp-address,similarity,beds,baths,sqft,type,monthly-rent,days-ago,price-sqft,dist
201,as167,as1671a1-R,"1016 W Stassney Ln, Apt 136
Austin, TX 78745",95.60%,1,1,588,Apartment,1285,126,2.192,0.03
202,as167,as1671a1-R,"1016 W Stassney Ln, Apt 148
Austin, TX 78745",92.40%,1,1,708,Apartment,1355,120,1.912,0.03
203,as167,as1671a1-R,"1020 W Stassney Ln, Unit 248
Austin, TX 78745",92.30%,1,1,708,Apartment,1455,118,2.062,0.06
204,as167,as1671a1-R,"1020 W Stassney Ln, Unit 165
Austin, TX 78745",92.30%,1,1,708,Apartment,1358,127,1.922,0.07
205,as167,as1671a1-R,"5807 S 1st St, Unit ATC11
Austin, TX 78745",92.10%,1,1,670,Apartment,1185,120,1.772,0.39
206,as167,as1671a1-R,"1016 W Stassney Ln
Austin, TX 78745",88.30%,1,1,,Apartment,1105,1,,0.03
207,as167,as1671a1-R,"1005 W Stassney Ln, Unit 25203
Austin, TX 78745",88.00%,1,1,,Apartment,1015,1,,0.1
208,as167,as1671a1-R,"714 Turtle Creek Blvd, Unit 156
Austin, TX 78745",87.10%,1,1,,Apartment,1249,126,,0.38
209,as167,as1671a1-R,"5816 S 1st St
Austin, TX 78745",83.60%,1,1,,Single Family,1199,122,,0.36
210,as167,as1671a1-R,"1005 W Stassney Ln
Austin, TX 78745",79.70%,1,1,650,Condo,975,1,1.502,0.1
211,as167,as1671a1-R,"1005 W Stassney Ln, Unit 25202
Austin, TX 78745",77.60%,Studio,1,,Apartment,1140,3,,0.1
212,as167,as1671a1-R,"1005 W Stassney Ln, Unit 25201
Austin, TX 78745",77.60%,Studio,1,,Apartment,975,1,,0.1
213,as167,as1671a1-R,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",77.60%,2,1,840,Apartment,1000,204,1.192,0.59
214,as167,as1671a1-R,"811 Ramble Ln
Austin, TX 78745",77.30%,2,1,,Apartment,1395,196,,0.15
215,as167,as1671a1-R,"5800 Emerald Forest Dr
Austin, TX 78745",77.10%,2,1,,Apartment,1525,28,,0.24
216,as167,as1671a1-R,"6200 Soft Wind Cir
Austin, TX 78745",76.20%,2,1,,Apartment,1450,103,,0.51
217,as167,as1671a1-R,"801 Sirocco Dr
Austin, TX 78745",76.20%,2,1,,Apartment,1375,199,,0.51
218,as167,as1671a1-R,"5304 Saint Georges Grn
Austin, TX 78745",75.90%,2,1,,Apartment,1000,203,,0.59
219,as167,as1671a1-R,"4903 Hawk Cv
Austin, TX 78745",75.80%,2,1,,Apartment,1475,43,,0.63
220,as167,as1671a1-U,"1016 W Stassney Ln, Apt 122
Austin, TX 78745",95.60%,1,1,588,Apartment,1355,113,2.302,0.03
221,as167,as1671a1-U,"1016 W Stassney Ln, Apt 136
Austin, TX 78745",95.60%,1,1,588,Apartment,1285,126,2.192,0.03
222,as167,as1671a1-U,"1016 W Stassney Ln, Apt 148
Austin, TX 78745",92.40%,1,1,708,Apartment,1355,120,1.912,0.03
223,as167,as1671a1-U,"1020 W Stassney Ln, Unit 248
Austin, TX 78745",92.30%,1,1,708,Apartment,1455,118,2.062,0.06
224,as167,as1671a1-U,"1020 W Stassney Ln, Unit 165
Austin, TX 78745",92.30%,1,1,708,Apartment,1358,127,1.922,0.07
225,as167,as1671a1-U,"5807 S 1st St, Unit ATC11
Austin, TX 78745",92.10%,1,1,670,Apartment,1185,120,1.772,0.39
226,as167,as1671a1-U,"1016 W Stassney Ln
Austin, TX 78745",88.30%,1,1,,Apartment,1105,1,,0.03
227,as167,as1671a1-U,"1005 W Stassney Ln, Unit 25203
Austin, TX 78745",88.00%,1,1,,Apartment,1015,1,,0.1
228,as167,as1671a1-U,"714 Turtle Creek Blvd, Unit 156
Austin, TX 78745",87.10%,1,1,,Apartment,1249,126,,0.38
229,as167,as1671a1-U,"5816 S 1st St
Austin, TX 78745",83.60%,1,1,,Single Family,1199,122,,0.36
230,as167,as1671a1-U,"1005 W Stassney Ln
Austin, TX 78745",79.70%,1,1,650,Condo,975,1,1.502,0.1
231,as167,as1671a1-U,"1005 W Stassney Ln, Unit 25202
Austin, TX 78745",77.60%,Studio,1,,Apartment,1140,3,,0.1
232,as167,as1671a1-U,"1005 W Stassney Ln, Unit 25201
Austin, TX 78745",77.60%,Studio,1,,Apartment,975,1,,0.1
233,as167,as1671a1-U,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",77.60%,2,1,840,Apartment,1000,204,1.192,0.59
234,as167,as1671a1-U,"811 Ramble Ln
Austin, TX 78745",77.30%,2,1,,Apartment,1395,196,,0.15
235,as167,as1671a1-U,"5800 Emerald Forest Dr
Austin, TX 78745",77.10%,2,1,,Apartment,1525,28,,0.24
236,as167,as1671a1-U,"6200 Soft Wind Cir
Austin, TX 78745",76.20%,2,1,,Apartment,1450,103,,0.51
237,as167,as1671a1-U,"801 Sirocco Dr
Austin, TX 78745",76.20%,2,1,,Apartment,1375,199,,0.51
238,as167,as1671a1-U,"5304 Saint Georges Grn
Austin, TX 78745",75.90%,2,1,,Apartment,1000,203,,0.59
239,as167,as1671a1-U,"4903 Hawk Cv
Austin, TX 78745",75.80%,2,1,,Apartment,1475,43,,0.63
240,as167,as1671a2,"1016 W Stassney Ln, Apt 136
Austin, TX 78745",99.90%,1,1,588,Apartment,1285,126,2.192,0.03
241,as167,as1671a2,"1016 W Stassney Ln, Apt 122
Austin, TX 78745",99.90%,1,1,588,Apartment,1355,113,2.302,0.03
242,as167,as1671a2,"1016 W Stassney Ln, Apt 148
Austin, TX 78745",95.90%,1,1,708,Apartment,1355,120,1.912,0.03
243,as167,as1671a2,"1020 W Stassney Ln, Unit 248
Austin, TX 78745",95.80%,1,1,708,Apartment,1455,118,2.062,0.06
244,as167,as1671a2,"5807 S 1st St, Unit ATC11
Austin, TX 78745",95.80%,1,1,670,Apartment,1185,120,1.772,0.39
245,as167,as1671a2,"1020 W Stassney Ln, Unit 165
Austin, TX 78745",95.80%,1,1,708,Apartment,1358,127,1.922,0.07
246,as167,as1671a2,"1016 W Stassney Ln
Austin, TX 78745",88.30%,1,1,,Apartment,1105,1,,0.03
247,as167,as1671a2,"1005 W Stassney Ln, Unit 25203
Austin, TX 78745",88.00%,1,1,,Apartment,1015,1,,0.1
248,as167,as1671a2,"714 Turtle Creek Blvd, Unit 156
Austin, TX 78745",87.10%,1,1,,Apartment,1249,126,,0.38
249,as167,as1671a2,"5816 S 1st St
Austin, TX 78745",83.60%,1,1,,Single Family,1199,122,,0.36
250,as167,as1671a2,"1005 W Stassney Ln
Austin, TX 78745",83.50%,1,1,650,Condo,975,1,1.502,0.1
251,as167,as1671a2,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",80.50%,2,1,840,Apartment,1000,204,1.192,0.59
252,as167,as1671a2,"1005 W Stassney Ln, Unit 25202
Austin, TX 78745",77.60%,Studio,1,,Apartment,1140,3,,0.1
253,as167,as1671a2,"1005 W Stassney Ln, Unit 25201
Austin, TX 78745",77.60%,Studio,1,,Apartment,975,1,,0.1
254,as167,as1671a2,"811 Ramble Ln
Austin, TX 78745",77.30%,2,1,,Apartment,1395,196,,0.15
255,as167,as1671a2,"1018 W Stassney Ln, Unit 215
Austin, TX 78745",77.30%,2,2,860,Apartment,1270,126,1.482,0.06
256,as167,as1671a2,"1020 W Stassney Ln, Unit 222
Austin, TX 78745",77.30%,2,2,860,Apartment,1327,199,1.542,0.06
257,as167,as1671a2,"5800 Emerald Forest Dr
Austin, TX 78745",77.10%,2,1,,Apartment,1525,28,,0.24
258,as167,as1671a2,"6200 Soft Wind Cir
Austin, TX 78745",76.20%,2,1,,Apartment,1450,103,,0.51
259,as167,as1671a2,"801 Sirocco Dr
Austin, TX 78745",76.20%,2,1,,Apartment,1375,199,,0.51
260,as167,as1671a2-R,"1016 W Stassney Ln, Apt 136
Austin, TX 78745",99.90%,1,1,588,Apartment,1285,126,2.192,0.03
261,as167,as1671a2-R,"1016 W Stassney Ln, Apt 122
Austin, TX 78745",99.90%,1,1,588,Apartment,1355,113,2.302,0.03
262,as167,as1671a2-R,"1016 W Stassney Ln, Apt 148
Austin, TX 78745",95.90%,1,1,708,Apartment,1355,120,1.912,0.03
263,as167,as1671a2-R,"1020 W Stassney Ln, Unit 248
Austin, TX 78745",95.80%,1,1,708,Apartment,1455,118,2.062,0.06
264,as167,as1671a2-R,"5807 S 1st St, Unit ATC11
Austin, TX 78745",95.80%,1,1,670,Apartment,1185,120,1.772,0.39
265,as167,as1671a2-R,"1020 W Stassney Ln, Unit 165
Austin, TX 78745",95.80%,1,1,708,Apartment,1358,127,1.922,0.07
266,as167,as1671a2-R,"1016 W Stassney Ln
Austin, TX 78745",88.30%,1,1,,Apartment,1105,1,,0.03
267,as167,as1671a2-R,"1005 W Stassney Ln, Unit 25203
Austin, TX 78745",88.00%,1,1,,Apartment,1015,1,,0.1
268,as167,as1671a2-R,"714 Turtle Creek Blvd, Unit 156
Austin, TX 78745",87.10%,1,1,,Apartment,1249,126,,0.38
269,as167,as1671a2-R,"5816 S 1st St
Austin, TX 78745",83.60%,1,1,,Single Family,1199,122,,0.36
270,as167,as1671a2-R,"1005 W Stassney Ln
Austin, TX 78745",83.50%,1,1,650,Condo,975,1,1.502,0.1
271,as167,as1671a2-R,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",80.50%,2,1,840,Apartment,1000,204,1.192,0.59
272,as167,as1671a2-R,"1005 W Stassney Ln, Unit 25202
Austin, TX 78745",77.60%,Studio,1,,Apartment,1140,3,,0.1
273,as167,as1671a2-R,"1005 W Stassney Ln, Unit 25201
Austin, TX 78745",77.60%,Studio,1,,Apartment,975,1,,0.1
274,as167,as1671a2-R,"811 Ramble Ln
Austin, TX 78745",77.30%,2,1,,Apartment,1395,196,,0.15
275,as167,as1671a2-R,"1018 W Stassney Ln, Unit 215
Austin, TX 78745",77.30%,2,2,860,Apartment,1270,126,1.482,0.06
276,as167,as1671a2-R,"1020 W Stassney Ln, Unit 222
Austin, TX 78745",77.30%,2,2,860,Apartment,1327,199,1.542,0.06
277,as167,as1671a2-R,"5800 Emerald Forest Dr
Austin, TX 78745",77.10%,2,1,,Apartment,1525,28,,0.24
278,as167,as1671a2-R,"6200 Soft Wind Cir
Austin, TX 78745",76.20%,2,1,,Apartment,1450,103,,0.51
279,as167,as1671a2-R,"801 Sirocco Dr
Austin, TX 78745",76.20%,2,1,,Apartment,1375,199,,0.51
280,as167,as1671a2-U,"1016 W Stassney Ln, Apt 136
Austin, TX 78745",99.90%,1,1,588,Apartment,1285,126,2.192,0.03
281,as167,as1671a2-U,"1016 W Stassney Ln, Apt 122
Austin, TX 78745",99.90%,1,1,588,Apartment,1355,113,2.302,0.03
282,as167,as1671a2-U,"1016 W Stassney Ln, Apt 148
Austin, TX 78745",95.90%,1,1,708,Apartment,1355,120,1.912,0.03
283,as167,as1671a2-U,"1020 W Stassney Ln, Unit 248
Austin, TX 78745",95.80%,1,1,708,Apartment,1455,118,2.062,0.06
284,as167,as1671a2-U,"5807 S 1st St, Unit ATC11
Austin, TX 78745",95.80%,1,1,670,Apartment,1185,120,1.772,0.39
285,as167,as1671a2-U,"1020 W Stassney Ln, Unit 165
Austin, TX 78745",95.80%,1,1,708,Apartment,1358,127,1.922,0.07
286,as167,as1671a2-U,"1016 W Stassney Ln
Austin, TX 78745",88.30%,1,1,,Apartment,1105,1,,0.03
287,as167,as1671a2-U,"1005 W Stassney Ln, Unit 25203
Austin, TX 78745",88.00%,1,1,,Apartment,1015,1,,0.1
288,as167,as1671a2-U,"714 Turtle Creek Blvd, Unit 156
Austin, TX 78745",87.10%,1,1,,Apartment,1249,126,,0.38
289,as167,as1671a2-U,"5816 S 1st St
Austin, TX 78745",83.60%,1,1,,Single Family,1199,122,,0.36
290,as167,as1671a2-U,"1005 W Stassney Ln
Austin, TX 78745",83.50%,1,1,650,Condo,975,1,1.502,0.1
291,as167,as1671a2-U,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",80.50%,2,1,840,Apartment,1000,204,1.192,0.59
292,as167,as1671a2-U,"1005 W Stassney Ln, Unit 25202
Austin, TX 78745",77.60%,Studio,1,,Apartment,1140,3,,0.1
293,as167,as1671a2-U,"1005 W Stassney Ln, Unit 25201
Austin, TX 78745",77.60%,Studio,1,,Apartment,975,1,,0.1
294,as167,as1671a2-U,"811 Ramble Ln
Austin, TX 78745",77.30%,2,1,,Apartment,1395,196,,0.15
295,as167,as1671a2-U,"1018 W Stassney Ln, Unit 215
Austin, TX 78745",77.30%,2,2,860,Apartment,1270,126,1.482,0.06
296,as167,as1671a2-U,"1020 W Stassney Ln, Unit 222
Austin, TX 78745",77.30%,2,2,860,Apartment,1327,199,1.542,0.06
297,as167,as1671a2-U,"5800 Emerald Forest Dr
Austin, TX 78745",77.10%,2,1,,Apartment,1525,28,,0.24
298,as167,as1671a2-U,"6200 Soft Wind Cir
Austin, TX 78745",76.20%,2,1,,Apartment,1450,103,,0.51
299,as167,as1671a2-U,"801 Sirocco Dr
Austin, TX 78745",76.20%,2,1,,Apartment,1375,199,,0.51
300,as167,as1671a3,"1016 W Stassney Ln, Apt 148
Austin, TX 78745",99.90%,1,1,708,Apartment,1355,120,1.912,0.03
301,as167,as1671a3,"1020 W Stassney Ln, Unit 248
Austin, TX 78745",99.80%,1,1,708,Apartment,1455,118,2.062,0.06
302,as167,as1671a3,"1020 W Stassney Ln, Unit 165
Austin, TX 78745",99.70%,1,1,708,Apartment,1358,127,1.922,0.07
303,as167,as1671a3,"5807 S 1st St, Unit ATC11
Austin, TX 78745",97.40%,1,1,670,Apartment,1185,120,1.772,0.39
304,as167,as1671a3,"1016 W Stassney Ln, Apt 136
Austin, TX 78745",95.90%,1,1,588,Apartment,1285,126,2.192,0.03
305,as167,as1671a3,"1016 W Stassney Ln, Apt 122
Austin, TX 78745",95.90%,1,1,588,Apartment,1355,113,2.302,0.03
306,as167,as1671a3,"1016 W Stassney Ln
Austin, TX 78745",88.30%,1,1,,Apartment,1105,1,,0.03
307,as167,as1671a3,"1005 W Stassney Ln, Unit 25203
Austin, TX 78745",88.00%,1,1,,Apartment,1015,1,,0.1
308,as167,as1671a3,"714 Turtle Creek Blvd, Unit 156
Austin, TX 78745",87.10%,1,1,,Apartment,1249,126,,0.38
309,as167,as1671a3,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",83.90%,2,1,840,Apartment,1000,204,1.192,0.59
310,as167,as1671a3,"1005 W Stassney Ln
Austin, TX 78745",83.80%,1,1,650,Condo,975,1,1.502,0.1
311,as167,as1671a3,"5816 S 1st St
Austin, TX 78745",83.60%,1,1,,Single Family,1199,122,,0.36
312,as167,as1671a3,"1018 W Stassney Ln, Unit 215
Austin, TX 78745",80.50%,2,2,860,Apartment,1270,126,1.482,0.06
313,as167,as1671a3,"1020 W Stassney Ln, Unit 222
Austin, TX 78745",80.50%,2,2,860,Apartment,1327,199,1.542,0.06
314,as167,as1671a3,"714 Turtle Creek Blvd, # 3-118
Austin, TX 78745",78.40%,2,2,915,Apartment,1625,1,1.782,0.38
315,as167,as1671a3,"714 Turtle Creek Blvd, # 2-113
Austin, TX 78745",78.40%,2,2,915,Apartment,1545,3,1.692,0.38
316,as167,as1671a3,"714 Turtle Creek Blvd, # 3-123
Austin, TX 78745",78.40%,2,2,915,Apartment,1625,1,1.782,0.38
317,as167,as1671a3,"714 Turtle Creek Blvd, # 3-219
Austin, TX 78745",78.40%,2,2,915,Apartment,1625,74,1.782,0.38
318,as167,as1671a3,"714 Turtle Creek Blvd, # 6-143
Austin, TX 78745",78.40%,2,2,915,Apartment,1625,74,1.782,0.38
319,as167,as1671a3,"5807 S 1st St, Unit ATC22
Austin, TX 78745",78.30%,2,2,915,Apartment,1455,120,1.592,0.39
320,as167,as1671a3-R,"1016 W Stassney Ln, Apt 148
Austin, TX 78745",99.90%,1,1,708,Apartment,1355,120,1.912,0.03
321,as167,as1671a3-R,"1020 W Stassney Ln, Unit 248
Austin, TX 78745",99.80%,1,1,708,Apartment,1455,118,2.062,0.06
322,as167,as1671a3-R,"1020 W Stassney Ln, Unit 165
Austin, TX 78745",99.70%,1,1,708,Apartment,1358,127,1.922,0.07
323,as167,as1671a3-R,"5807 S 1st St, Unit ATC11
Austin, TX 78745",97.40%,1,1,670,Apartment,1185,120,1.772,0.39
324,as167,as1671a3-R,"1016 W Stassney Ln, Apt 136
Austin, TX 78745",95.90%,1,1,588,Apartment,1285,126,2.192,0.03
325,as167,as1671a3-R,"1016 W Stassney Ln, Apt 122
Austin, TX 78745",95.90%,1,1,588,Apartment,1355,113,2.302,0.03
326,as167,as1671a3-R,"1016 W Stassney Ln
Austin, TX 78745",88.30%,1,1,,Apartment,1105,1,,0.03
327,as167,as1671a3-R,"1005 W Stassney Ln, Unit 25203
Austin, TX 78745",88.00%,1,1,,Apartment,1015,1,,0.1
328,as167,as1671a3-R,"714 Turtle Creek Blvd, Unit 156
Austin, TX 78745",87.10%,1,1,,Apartment,1249,126,,0.38
329,as167,as1671a3-R,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",83.90%,2,1,840,Apartment,1000,204,1.192,0.59
330,as167,as1671a3-R,"1005 W Stassney Ln
Austin, TX 78745",83.80%,1,1,650,Condo,975,1,1.502,0.1
331,as167,as1671a3-R,"5816 S 1st St
Austin, TX 78745",83.60%,1,1,,Single Family,1199,122,,0.36
332,as167,as1671a3-R,"1018 W Stassney Ln, Unit 215
Austin, TX 78745",80.50%,2,2,860,Apartment,1270,126,1.482,0.06
333,as167,as1671a3-R,"1020 W Stassney Ln, Unit 222
Austin, TX 78745",80.50%,2,2,860,Apartment,1327,199,1.542,0.06
334,as167,as1671a3-R,"714 Turtle Creek Blvd, # 3-118
Austin, TX 78745",78.40%,2,2,915,Apartment,1625,1,1.782,0.38
335,as167,as1671a3-R,"714 Turtle Creek Blvd, # 2-113
Austin, TX 78745",78.40%,2,2,915,Apartment,1545,3,1.692,0.38
336,as167,as1671a3-R,"714 Turtle Creek Blvd, # 3-123
Austin, TX 78745",78.40%,2,2,915,Apartment,1625,1,1.782,0.38
337,as167,as1671a3-R,"714 Turtle Creek Blvd, # 3-219
Austin, TX 78745",78.40%,2,2,915,Apartment,1625,74,1.782,0.38
338,as167,as1671a3-R,"714 Turtle Creek Blvd, # 6-143
Austin, TX 78745",78.40%,2,2,915,Apartment,1625,74,1.782,0.38
339,as167,as1671a3-R,"5807 S 1st St, Unit ATC22
Austin, TX 78745",78.30%,2,2,915,Apartment,1455,120,1.592,0.39
340,as167,as1672c1,"1018 W Stassney Ln, Unit 215
Austin, TX 78745",99.80%,2,2,860,Apartment,1270,126,1.482,0.06
341,as167,as1672c1,"1020 W Stassney Ln, Unit 222
Austin, TX 78745",99.70%,2,2,860,Apartment,1327,199,1.542,0.06
342,as167,as1672c1,"714 Turtle Creek Blvd, # 3-118
Austin, TX 78745",97.40%,2,2,915,Apartment,1625,1,1.782,0.38
343,as167,as1672c1,"714 Turtle Creek Blvd, # 2-113
Austin, TX 78745",97.40%,2,2,915,Apartment,1545,3,1.692,0.38
344,as167,as1672c1,"714 Turtle Creek Blvd, # 3-123
Austin, TX 78745",97.40%,2,2,915,Apartment,1625,1,1.782,0.38
345,as167,as1672c1,"714 Turtle Creek Blvd, # 3-219
Austin, TX 78745",97.30%,2,2,915,Apartment,1625,74,1.782,0.38
346,as167,as1672c1,"714 Turtle Creek Blvd, # 6-143
Austin, TX 78745",97.30%,2,2,915,Apartment,1625,74,1.782,0.38
347,as167,as1672c1,"5807 S 1st St, Unit ATC22
Austin, TX 78745",97.30%,2,2,915,Apartment,1455,120,1.592,0.39
348,as167,as1672c1,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",92.80%,2,1,840,Apartment,1000,204,1.192,0.59
349,as167,as1672c1,"5801 Libyan Dr
Austin, TX 78745",87.20%,2,2,,Apartment,1500,100,,0.35
350,as167,as1672c1,"714 Turtle Creek Blvd, Unit 2136
Austin, TX 78745",87.10%,2,2,,Apartment,1545,126,,0.38
351,as167,as1672c1,"5112 S 1st St
Austin, TX 78745",86.90%,2,2,,Apartment,1195,1,,0.46
352,as167,as1672c1,"6303 Emerald Forest Dr, Unit A
Austin, TX 78745",83.90%,2,2,850,Multi-Family,1575,197,1.852,0.56
353,as167,as1672c1,"6305 Emerald Forest Dr, Unit B
Austin, TX 78745",83.80%,2,2,871,Multi-Family,1500,118,1.722,0.57
354,as167,as1672c1,"6209 Emerald Forest Dr, Unit A
Austin, TX 78745",83.40%,2,2,896,Multi-Family,1550,122,1.732,0.52
355,as167,as1672c1,"811 Ramble Ln
Austin, TX 78745",83.20%,2,1,,Apartment,1395,196,,0.15
356,as167,as1672c1,"5800 Emerald Forest Dr
Austin, TX 78745",82.90%,2,1,,Apartment,1525,28,,0.24
357,as167,as1672c1,"6200 Soft Wind Cir
Austin, TX 78745",82.00%,2,1,,Apartment,1450,103,,0.51
358,as167,as1672c1,"801 Sirocco Dr
Austin, TX 78745",82.00%,2,1,,Apartment,1375,199,,0.51
359,as167,as1672c1,"5304 Saint Georges Grn
Austin, TX 78745",81.70%,2,1,,Apartment,1000,203,,0.59
360,as167,as1672c1-R,"1018 W Stassney Ln, Unit 215
Austin, TX 78745",99.80%,2,2,860,Apartment,1270,126,1.482,0.06
361,as167,as1672c1-R,"1020 W Stassney Ln, Unit 222
Austin, TX 78745",99.70%,2,2,860,Apartment,1327,199,1.542,0.06
362,as167,as1672c1-R,"714 Turtle Creek Blvd, # 3-118
Austin, TX 78745",97.40%,2,2,915,Apartment,1625,1,1.782,0.38
363,as167,as1672c1-R,"714 Turtle Creek Blvd, # 2-113
Austin, TX 78745",97.40%,2,2,915,Apartment,1545,3,1.692,0.38
364,as167,as1672c1-R,"714 Turtle Creek Blvd, # 3-123
Austin, TX 78745",97.40%,2,2,915,Apartment,1625,1,1.782,0.38
365,as167,as1672c1-R,"714 Turtle Creek Blvd, # 3-219
Austin, TX 78745",97.30%,2,2,915,Apartment,1625,74,1.782,0.38
366,as167,as1672c1-R,"714 Turtle Creek Blvd, # 6-143
Austin, TX 78745",97.30%,2,2,915,Apartment,1625,74,1.782,0.38
367,as167,as1672c1-R,"5807 S 1st St, Unit ATC22
Austin, TX 78745",97.30%,2,2,915,Apartment,1455,120,1.592,0.39
368,as167,as1672c1-R,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",92.80%,2,1,840,Apartment,1000,204,1.192,0.59
369,as167,as1672c1-R,"5801 Libyan Dr
Austin, TX 78745",87.20%,2,2,,Apartment,1500,100,,0.35
370,as167,as1672c1-R,"714 Turtle Creek Blvd, Unit 2136
Austin, TX 78745",87.10%,2,2,,Apartment,1545,126,,0.38
371,as167,as1672c1-R,"5112 S 1st St
Austin, TX 78745",86.90%,2,2,,Apartment,1195,1,,0.46
372,as167,as1672c1-R,"6303 Emerald Forest Dr, Unit A
Austin, TX 78745",83.90%,2,2,850,Multi-Family,1575,197,1.852,0.56
373,as167,as1672c1-R,"6305 Emerald Forest Dr, Unit B
Austin, TX 78745",83.80%,2,2,871,Multi-Family,1500,118,1.722,0.57
374,as167,as1672c1-R,"6209 Emerald Forest Dr, Unit A
Austin, TX 78745",83.40%,2,2,896,Multi-Family,1550,122,1.732,0.52
375,as167,as1672c1-R,"811 Ramble Ln
Austin, TX 78745",83.20%,2,1,,Apartment,1395,196,,0.15
376,as167,as1672c1-R,"5800 Emerald Forest Dr
Austin, TX 78745",82.90%,2,1,,Apartment,1525,28,,0.24
377,as167,as1672c1-R,"6200 Soft Wind Cir
Austin, TX 78745",82.00%,2,1,,Apartment,1450,103,,0.51
378,as167,as1672c1-R,"801 Sirocco Dr
Austin, TX 78745",82.00%,2,1,,Apartment,1375,199,,0.51
379,as167,as1672c1-R,"5304 Saint Georges Grn
Austin, TX 78745",81.70%,2,1,,Apartment,1000,203,,0.59
380,as167,as1672c1-U,"1018 W Stassney Ln, Unit 215
Austin, TX 78745",99.80%,2,2,860,Apartment,1270,126,1.482,0.06
381,as167,as1672c1-U,"1020 W Stassney Ln, Unit 222
Austin, TX 78745",99.70%,2,2,860,Apartment,1327,199,1.542,0.06
382,as167,as1672c1-U,"714 Turtle Creek Blvd, # 3-118
Austin, TX 78745",97.40%,2,2,915,Apartment,1625,1,1.782,0.38
383,as167,as1672c1-U,"714 Turtle Creek Blvd, # 2-113
Austin, TX 78745",97.40%,2,2,915,Apartment,1545,3,1.692,0.38
384,as167,as1672c1-U,"714 Turtle Creek Blvd, # 3-123
Austin, TX 78745",97.40%,2,2,915,Apartment,1625,1,1.782,0.38
385,as167,as1672c1-U,"714 Turtle Creek Blvd, # 3-219
Austin, TX 78745",97.30%,2,2,915,Apartment,1625,74,1.782,0.38
386,as167,as1672c1-U,"714 Turtle Creek Blvd, # 6-143
Austin, TX 78745",97.30%,2,2,915,Apartment,1625,74,1.782,0.38
387,as167,as1672c1-U,"5807 S 1st St, Unit ATC22
Austin, TX 78745",97.30%,2,2,915,Apartment,1455,120,1.592,0.39
388,as167,as1672c1-U,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",92.80%,2,1,840,Apartment,1000,204,1.192,0.59
389,as167,as1672c1-U,"5801 Libyan Dr
Austin, TX 78745",87.20%,2,2,,Apartment,1500,100,,0.35
390,as167,as1672c1-U,"714 Turtle Creek Blvd, Unit 2136
Austin, TX 78745",87.10%,2,2,,Apartment,1545,126,,0.38
391,as167,as1672c1-U,"5112 S 1st St
Austin, TX 78745",86.90%,2,2,,Apartment,1195,1,,0.46
392,as167,as1672c1-U,"6303 Emerald Forest Dr, Unit A
Austin, TX 78745",83.90%,2,2,850,Multi-Family,1575,197,1.852,0.56
393,as167,as1672c1-U,"6305 Emerald Forest Dr, Unit B
Austin, TX 78745",83.80%,2,2,871,Multi-Family,1500,118,1.722,0.57
394,as167,as1672c1-U,"6209 Emerald Forest Dr, Unit A
Austin, TX 78745",83.40%,2,2,896,Multi-Family,1550,122,1.732,0.52
395,as167,as1672c1-U,"811 Ramble Ln
Austin, TX 78745",83.20%,2,1,,Apartment,1395,196,,0.15
396,as167,as1672c1-U,"5800 Emerald Forest Dr
Austin, TX 78745",82.90%,2,1,,Apartment,1525,28,,0.24
397,as167,as1672c1-U,"6200 Soft Wind Cir
Austin, TX 78745",82.00%,2,1,,Apartment,1450,103,,0.51
398,as167,as1672c1-U,"801 Sirocco Dr
Austin, TX 78745",82.00%,2,1,,Apartment,1375,199,,0.51
399,as167,as1672c1-U,"5304 Saint Georges Grn
Austin, TX 78745",81.70%,2,1,,Apartment,1000,203,,0.59
400,as168,as1681a1,"3605 Steck Ave, Apt 1116
Austin, TX 78759",81.00%,1,1,560,Apartment,1167,42,2.082,0.55
401,as168,as1681a1,"7630 Wood Hollow Dr, Apt 251
Austin, TX 78731",80.50%,1,1,422,Apartment,930,26,2.202,0.82
402,as168,as1681a1,"7630 Wood Hollow Dr, Apt 280
Austin, TX 78731",80.40%,1,1,550,Apartment,1240,3,2.252,0.82
403,as168,as1681a1,"7630 Wood Hollow Dr, Apt 286
Austin, TX 78731",80.40%,1,1,550,Apartment,1178,3,2.142,0.82
404,as168,as1681a1,"7630 Wood Hollow Dr, Apt 283
Austin, TX 78731",80.40%,1,1,550,Apartment,1178,3,2.142,0.82
405,as168,as1681a1,"7630 Wood Hollow Dr, Apt 383
Austin, TX 78731",80.40%,1,1,550,Apartment,1240,3,2.252,0.82
406,as168,as1681a1,"Unnamed Rd, Unit 114
Austin, TX 78759",79.60%,1,1,629,Apartment,1284,118,2.042,0.29
407,as168,as1681a1,"4027 Steck Ave, Unit 1412
Austin, TX 78759",79.40%,1,1,663,Apartment,1150,118,1.732,0.08
